"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","141803","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","163895","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","187171","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","217020","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","249628","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","279181","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","299848","","","","0"
"2025-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","318864","","","","0"
"2025-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","334118","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1485","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1242","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1365","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1802","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1635","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1230","","","","0"
"2023-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1401","","","","0"
"2023-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1624","","","","0"
"2023-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","1641","","","","0"
"2023-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2017","","","","0"
"2024-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2884","","","","0"
"2024-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","3487","","","","0"
"2024-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2878","","","","0"
"2024-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2406","","","","0"
"2025-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2529","","","","0"
"2025-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2435","","","","0"
"2025-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with study permit only","Persons","249","units","0","v1566927593","1.4","2565","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","4094","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3417","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3206","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3015","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3492","","","","0"
"2022-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work and study permits","Persons","249","units","0","v1566927594","1.5","3764","","","","0"
