"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.0","","","","1"
"2015-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.1","","","","1"
"2015-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.1","","","","1"
"2015-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.3","","","","1"
"2015-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.1","","","","1"
"2015-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.2","","","","1"
"2015-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.5","","","","1"
"2015-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.8","","","","1"
"2015-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.9","","","","1"
"2015-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","133.9","","","","1"
"2015-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.3","","","","1"
"2015-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.4","","","","1"
"2015-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.5","","","","1"
"2016-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.6","","","","1"
"2016-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.7","","","","1"
"2016-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.8","","","","1"
"2016-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","134.9","","","","1"
"2016-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","135.1","","","","1"
"2016-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","135.6","","","","1"
"2016-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","136.0","","","","1"
"2016-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","136.2","","","","1"
"2016-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","136.2","","","","1"
"2016-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","136.9","","","","1"
"2016-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.2","","","","1"
"2016-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.3","","","","1"
"2017-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.8","","","","1"
"2017-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.6","","","","1"
"2017-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.7","","","","1"
"2017-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.9","","","","1"
"2017-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.7","","","","1"
"2017-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","137.8","","","","1"
