"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","104210","","","","0"
"2025-04","Canada","2021A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","103507","","","","0"
"2010-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10874","","","","0"
"2010-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","8022","","","","0"
"2010-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11398","","","","0"
"2010-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11893","","","","0"
"2011-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","12114","","","","0"
"2011-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","7457","","","","0"
"2011-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","16013","","","","0"
"2011-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15348","","","","0"
"2012-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14350","","","","0"
"2012-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","9175","","","","0"
"2012-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","12985","","","","0"
"2012-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","13916","","","","0"
"2013-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15063","","","","0"
"2013-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","9838","","","","0"
"2013-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11396","","","","0"
"2013-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15153","","","","0"
"2014-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15698","","","","0"
"2014-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11254","","","","0"
"2014-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","13862","","","","0"
"2014-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14142","","","","0"
"2015-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15927","","","","0"
"2015-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10113","","","","0"
"2015-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14644","","","","0"
"2015-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15882","","","","0"
"2016-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15462","","","","0"
"2016-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","8909","","","","0"
"2016-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","16648","","","","0"
"2016-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15753","","","","0"
"2017-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","15964","","","","0"
"2017-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","8115","","","","0"
"2017-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","8878","","","","0"
"2017-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10875","","","","0"
"2018-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","13487","","","","0"
"2018-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","6625","","","","0"
"2018-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","7025","","","","0"
"2018-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10778","","","","0"
"2019-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11957","","","","0"
"2019-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","5206","","","","0"
"2019-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","9073","","","","0"
"2019-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","9555","","","","0"
"2020-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10408","","","","0"
"2020-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","2633","","","","0"
"2020-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","-78","","","","0"
"2020-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","6272","","","","0"
"2021-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10498","","","","0"
"2021-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","9034","","","","0"
"2021-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","7898","","","","0"
"2021-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11731","","","","0"
"2022-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","16312","","","","0"
"2022-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11312","","","","0"
"2022-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","16623","","","","0"
"2022-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14323","","","","0"
"2023-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","18928","","","","0"
"2023-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11835","","","","0"
"2023-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","19286","","","","0"
"2023-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14031","","","","0"
"2024-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","19368","","","","0"
"2024-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","10767","","","","0"
"2024-07","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","19869","","","","0"
"2024-10","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","14448","","","","0"
"2025-01","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","19961","","","","0"
"2025-04","Canada","2021A000011124","Net emigration","Persons","249","units","0","v1566834788","1.6","11094","","","","0"
"2010-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12301","","","","0"
"2010-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13836","","","","0"
"2010-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19826","","","","0"
"2010-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13725","","","","0"
"2011-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13747","","","","0"
"2011-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14168","","","","0"
"2011-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","22222","","","","0"
"2011-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14988","","","","0"
"2012-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14120","","","","0"
"2012-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14063","","","","0"
"2012-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20315","","","","0"
"2012-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13375","","","","0"
"2013-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14286","","","","0"
"2013-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14153","","","","0"
"2013-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19902","","","","0"
"2013-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14368","","","","0"
"2014-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14680","","","","0"
"2014-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14772","","","","0"
"2014-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","21768","","","","0"
"2014-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14002","","","","0"
"2015-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14989","","","","0"
"2015-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","15078","","","","0"
"2015-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","23493","","","","0"
"2015-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","15385","","","","0"
"2016-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","15111","","","","0"
"2016-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13904","","","","0"
"2016-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","41778","","","","0"
"2016-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","26680","","","","0"
"2017-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","27115","","","","0"
"2017-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","24391","","","","0"
"2017-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","31704","","","","0"
"2017-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20803","","","","0"
"2018-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","23635","","","","0"
"2018-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","22129","","","","0"
"2018-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","30291","","","","0"
"2018-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20980","","","","0"
"2019-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","21331","","","","0"
"2019-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19602","","","","0"
"2019-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","30675","","","","0"
"2019-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","18852","","","","0"
"2020-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20633","","","","0"
"2020-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","7431","","","","0"
"2020-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17305","","","","0"
"2020-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","15038","","","","0"
"2021-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17184","","","","0"
"2021-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17100","","","","0"
"2021-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","26453","","","","0"
"2021-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","22620","","","","0"
"2022-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","25394","","","","0"
"2022-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","25289","","","","0"
"2022-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","35112","","","","0"
"2022-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","24377","","","","0"
"2023-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","28289","","","","0"
"2023-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","25513","","","","0"
"2023-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","39617","","","","0"
"2023-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","23948","","","","0"
"2024-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","28938","","","","0"
"2024-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","23985","","","","0"
"2024-07","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","40818","","","","0"
"2024-10","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","24668","","","","0"
"2025-01","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","29816","","","","0"
"2025-04","Canada","2021A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","24714","","","","0"
"2010-01","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","5704","","","","0"
"2010-04","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","10338","","","","0"
"2010-07","Canada","2021A000011124","Returning emigrants","Persons","249","units","0","v29850344","1.3","13733","","","","0"
